,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
0,Birmingham,86.7,-36.6,74.8,33.9,60.9,9.0,14.4,AL,53
1,Washington,90.9,6.0,77.0,26.6,74.7,6.9,4.1,DC,1896
2,Boca Raton,95.8,8.9,82.2,6.4,51.3,5.0,9.8,FL,44
3,Boynton Beach,87.0,-15.4,79.9,12.6,70.7,7.4,18.6,FL,14
4,Bradenton,86.8,-24.7,78.1,20.1,62.2,6.4,19.5,FL,1
5,Cape Coral,91.8,-11.3,79.1,5.3,51.3,6.0,16.2,FL,23
6,Clearwater,89.9,-20.3,78.2,11.8,56.4,7.0,17.3,FL,41
7,Coconut Creek,92.9,-11.3,81.2,7.4,75.9,4.8,15.7,FL,17
8,Coral Gables,96.2,19.9,84.4,19.3,58.1,3.2,7.2,FL,42
9,Coral Springs,93.1,3.5,80.1,5.4,80.4,6.7,13.7,FL,21
10,Davie,90.3,-2.6,80.7,6.2,75.1,4.3,12.4,FL,45
11,Daytona Beach,88.2,-39.4,75.1,19.7,64.1,6.7,18.4,FL,25
12,Deerfield Beach,86.3,-22.4,78.8,17.1,75.6,7.1,23.1,FL,42
13,Delray Beach,87.5,-6.9,80.5,22.4,65.1,6.4,16.3,FL,21
14,Doral,91.4,-4.0,82.9,2.5,34.8,3.5,18.0,FL,2
15,Fort Lauderdale,87.7,-8.5,77.5,29.3,74.6,7.0,18.2,FL,81
16,Fort Myers,83.4,-22.1,78.1,24.1,68.4,5.4,19.7,FL,16
17,Gainesville,92.4,-36.7,77.6,11.8,73.5,5.2,9.3,FL,193
18,Hialeah,69.7,-40.2,80.8,27.2,20.9,4.6,25.3,FL,8
19,Hollywood,87.4,-15.9,78.7,11.5,77.1,6.5,19.8,FL,12
20,Homestead,74.6,-25.1,77.6,7.7,58.5,7.1,24.2,FL,20
21,Jupiter,94.3,9.9,82.6,7.8,46.9,3.8,11.9,FL,15
22,Kissimmee,84.2,-31.4,78.6,5.7,64.1,5.4,17.8,FL,6
23,Lakeland,88.0,-23.2,77.2,13.6,64.6,6.4,12.5,FL,22
24,Largo,90.3,-26.0,77.3,10.8,53.2,5.7,16.1,FL,31
25,Lauderhill,83.5,-31.6,75.3,13.5,49.4,8.1,17.2,FL,5
26,Margate,87.4,-27.6,79.1,7.4,80.6,5.4,19.2,FL,13
27,Melbourne,91.3,-24.2,78.2,7.2,55.4,4.3,15.3,FL,57
28,Miami,78.0,-31.4,79.3,35.1,54.9,6.0,23.2,FL,42
29,Miami Beach,89.2,-13.6,81.6,8.6,60.1,3.8,22.5,FL,256
30,Miami Gardens,78.4,-30.7,77.5,12.3,52.5,7.7,22.7,FL,19
31,Miramar,91.4,-0.5,80.0,9.7,79.6,5.0,14.4,FL,27
32,North Miami,77.6,-30.4,78.3,15.9,65.7,7.6,28.9,FL,24
33,North Port,90.5,-6.6,79.6,5.3,41.8,3.6,18.1,FL,31
34,Ocala,88.4,-30.4,75.5,12.8,63.1,8.1,16.5,FL,11
